time,consumption_power
2024-05-13 21:16:02.755,429.000000000
2024-05-13 21:16:05.256,402.000000000
2024-05-13 21:16:07.756,388.000000000
2024-05-13 21:16:10.257,375.000000000
2024-05-13 21:16:12.757,399.000000000
2024-05-13 21:16:15.257,406.000000000
2024-05-13 21:16:17.758,412.000000000
2024-05-13 21:16:20.260,428.000000000
2024-05-13 21:16:22.759,396.000000000
2024-05-13 21:16:25.259,417.000000000
2024-05-13 21:16:27.759,399.000000000
2024-05-13 21:16:30.259,411.000000000
2024-05-13 21:16:32.759,393.000000000
2024-05-13 21:16:35.260,425.000000000
2024-05-13 21:16:37.760,407.000000000
2024-05-13 21:16:40.259,411.000000000
2024-05-13 21:16:42.759,411.000000000
2024-05-13 21:16:45.259,412.000000000
2024-05-13 21:16:47.757,398.000000000
2024-05-13 21:16:50.258,385.000000000
2024-05-13 21:16:52.757,407.000000000
2024-05-13 21:16:55.258,415.000000000
2024-05-13 21:16:57.758,443.000000000
2024-05-13 21:17:00.257,400.000000000
2024-05-13 21:17:02.758,422.000000000
2024-05-13 21:17:05.259,401.000000000
2024-05-13 21:17:07.759,386.000000000
2024-05-13 21:17:10.259,392.000000000
2024-05-13 21:17:12.757,414.000000000
2024-05-13 21:17:15.256,432.000000000
2024-05-13 21:17:17.756,440.000000000
2024-05-13 21:17:20.255,415.000000000
2024-05-13 21:17:22.755,408.000000000
2024-05-13 21:17:25.254,402.000000000
2024-05-13 21:17:27.754,405.000000000
2024-05-13 21:17:30.253,439.000000000
2024-05-13 21:17:32.755,430.000000000
2024-05-13 21:17:35.255,410.000000000
2024-05-13 21:17:37.755,428.000000000
2024-05-13 21:17:40.255,413.000000000
2024-05-13 21:17:42.754,410.000000000
2024-05-13 21:17:45.260,401.000000000
2024-05-13 21:17:47.759,400.000000000
2024-05-13 21:17:50.260,433.000000000
2024-05-13 21:17:52.760,410.000000000
2024-05-13 21:17:55.260,378.000000000
2024-05-13 21:17:57.759,390.000000000
2024-05-13 21:18:00.260,452.000000000
2024-05-13 21:18:02.760,395.000000000
2024-05-13 21:18:05.260,391.000000000
2024-05-13 21:18:07.759,408.000000000
2024-05-13 21:18:10.259,402.000000000
2024-05-13 21:18:12.758,406.000000000
2024-05-13 21:18:15.258,383.000000000
2024-05-13 21:18:17.757,401.000000000
2024-05-13 21:18:20.258,416.000000000
2024-05-13 21:18:22.758,401.000000000
2024-05-13 21:18:25.258,390.000000000
2024-05-13 21:18:27.757,381.000000000
2024-05-13 21:18:30.257,387.000000000
2024-05-13 21:18:32.758,394.000000000
2024-05-13 21:18:35.257,393.000000000
2024-05-13 21:18:37.758,429.000000000
2024-05-13 21:18:40.258,408.000000000
2024-05-13 21:18:42.758,431.000000000
2024-05-13 21:18:45.257,401.000000000
2024-05-13 21:18:47.757,416.000000000
2024-05-13 21:18:50.255,402.000000000
2024-05-13 21:18:52.756,420.000000000
2024-05-13 21:18:55.256,401.000000000
2024-05-13 21:18:57.755,400.000000000
2024-05-13 21:19:00.255,402.000000000
2024-05-13 21:19:02.754,412.000000000
2024-05-13 21:19:05.253,397.000000000
2024-05-13 21:19:07.752,387.000000000
2024-05-13 21:19:10.252,426.000000000
2024-05-13 21:19:12.754,393.000000000
2024-05-13 21:19:15.253,394.000000000
2024-05-13 21:19:17.753,388.000000000
2024-05-13 21:19:20.252,408.000000000
2024-05-13 21:19:22.751,415.000000000
2024-05-13 21:19:25.252,464.000000000
2024-05-13 21:19:27.753,393.000000000
2024-05-13 21:19:30.252,389.000000000
2024-05-13 21:19:32.753,395.000000000
2024-05-13 21:19:35.251,391.000000000
2024-05-13 21:19:37.751,401.000000000
2024-05-13 21:19:40.250,401.000000000
